id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
62,Tunceli,118,22,20,2,21,536,148,5,84,85,28,61,6,15,11,125,49,14,34,52,91,40,1029,300,29,53,47,39,9,5,61,95,157,1103,441,14,51,79,15,17,85,72,25,80,67,26,16,51,6,25,19,28,6,33,57,4,31,19,50,30,21,0,38,19,37,7,22,18,3,19,32,17,28,27,3,0,18,15,6,17,17,4100,6205,-2105,#FF6866
63,Sanliurfa,2483,776,195,91,55,2180,1672,14,482,298,63,83,70,62,53,734,97,80,97,144,1262,54,206,88,121,302,6269,65,21,31,1274,168,2620,4335,1673,78,57,234,50,101,285,615,118,420,203,232,1008,309,78,65,94,84,47,126,142,133,32,131,230,112,107,13,0,53,201,142,31,101,21,51,85,158,88,35,10,19,58,29,158,544,48,27190,35154,-7964,#B00000
64,Usak,69,29,430,54,15,375,676,7,233,177,38,15,22,18,62,230,58,20,23,658,52,32,36,27,76,252,87,19,10,16,63,152,93,860,1703,19,27,36,14,24,96,210,687,52,737,44,16,196,22,22,16,35,11,65,48,15,8,24,85,26,32,9,68,0,32,23,30,15,7,18,27,23,28,11,8,8,21,20,2,19,21,8693,9644,-951,#FF8F8F
65,Van,626,96,102,553,62,1874,1056,41,344,326,149,76,656,94,67,891,215,24,96,232,378,120,158,100,231,238,435,73,25,683,247,133,810,7927,1104,124,92,137,96,53,752,553,119,210,218,94,93,360,247,60,58,134,81,228,222,173,34,109,583,115,299,19,231,91,0,83,79,51,22,68,102,160,231,49,13,157,95,45,32,105,56,22866,27175,-4309,#FF0808
66,Yozgat,234,41,86,30,94,8832,706,29,161,203,20,24,48,44,32,971,71,89,353,75,104,39,61,77,153,185,137,56,17,20,83,75,218,3741,986,30,66,2408,20,536,374,335,86,55,124,93,31,236,27,182,106,83,38,86,198,16,81,296,206,357,139,4,175,30,45,0,82,114,15,45,444,23,35,9,1,17,71,21,5,68,38,17705,25546,-7841,#C00000
67,Zonguldak,130,18,84,36,33,1666,429,41,148,283,78,43,36,607,27,945,111,117,66,104,38,211,41,35,129,244,58,141,29,8,122,71,114,6281,568,40,245,102,53,32,1067,236,104,42,156,72,20,187,29,18,42,165,85,509,276,10,58,79,458,74,551,15,52,40,59,91,0,36,8,33,82,20,15,851,26,25,78,672,12,73,711,16258,20701,-4443,#FF0000
68,Aksaray,406,21,76,32,32,2110,498,13,95,66,23,9,24,38,31,261,28,17,51,68,47,9,28,38,87,119,97,23,24,16,89,88,306,2009,699,13,22,298,41,435,184,1698,56,53,119,60,31,118,13,342,468,24,9,40,75,17,9,70,161,34,56,11,59,43,26,101,22,0,8,91,54,20,24,2,9,6,12,15,4,38,18,10217,12587,-2370,#FF5F5F
69,Bayburt,61,6,23,69,12,321,75,14,24,58,15,4,29,7,10,200,20,9,11,14,16,33,9,121,164,38,22,84,167,2,15,23,32,1254,118,13,13,36,14,20,173,34,4,7,43,14,9,11,1,20,10,40,32,24,78,1,10,20,40,27,348,0,7,3,39,13,14,7,0,12,25,4,4,36,2,22,46,7,3,4,50,3101,4420,-1319,#FF8F8F
70,Karaman,154,15,98,14,23,450,851,1,83,51,26,11,21,21,44,117,23,16,22,61,45,15,44,29,38,103,43,22,12,0,61,98,790,869,433,10,7,86,3,37,66,2410,36,14,62,69,10,88,16,30,97,27,21,35,26,12,9,48,30,36,38,7,49,18,14,21,22,82,7,0,21,9,17,2,13,15,9,16,5,49,21,7853,8424,-571,#FF9F9F
71,Kirikkale,106,16,85,30,79,7716,510,25,88,120,33,12,27,64,24,245,42,166,175,80,62,21,61,48,103,163,54,23,16,22,85,70,101,1066,389,28,66,273,23,616,327,243,42,40,89,62,43,95,15,51,44,37,29,70,181,23,19,95,139,89,85,11,89,17,65,251,52,55,6,35,0,23,35,27,15,15,13,35,4,33,33,15861,15565,296,#21A8FF
